latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.60005,130.74651,323.36,3,1.65,2023-10-06,0035,T,50,6.1NRT,298.77,50.84,D
-15.61026,130.80142,331.37,2.97,1.64,2023-10-06,0035,T,81,6.1NRT,298.89,92.21,D
-16.71127,136.4998,336.29,1.14,1.07,2023-10-06,0035,T,83,6.1NRT,308.31,29.01,D
-16.71292,136.51038,327.28,1.14,1.07,2023-10-06,0035,T,61,6.1NRT,307.06,13.07,D
-16.76905,136.87212,328.12,1.1,1.05,2023-10-06,0035,T,73,6.1NRT,312.18,12.33,D
-16.72075,136.49829,361.75,1.14,1.07,2023-10-06,0035,T,100,6.1NRT,310.34,94.25,D
-16.72239,136.50887,325.85,1.14,1.07,2023-10-06,0035,T,41,6.1NRT,308.98,10.88,D
-16.73055,136.56139,326.71,1.14,1.06,2023-10-06,0035,T,70,6.1NRT,309.66,12.1,D
-16.72858,136.48616,339.4,1.15,1.07,2023-10-06,0035,T,86,6.1NRT,306.38,35.74,D
-16.73022,136.49673,351.22,1.14,1.07,2023-10-06,0035,T,95,6.1NRT,309,62.15,D
-16.73186,136.50731,325.3,1.14,1.07,2023-10-06,0035,T,8,6.1NRT,308.77,9.89,D
-16.74161,136.57028,345.05,1.13,1.06,2023-10-06,0035,T,91,6.1NRT,309.95,43.09,D
-16.74323,136.58078,363.55,1.13,1.06,2023-10-06,0035,T,100,6.1NRT,311.62,96.69,D
-16.74485,136.5912,326,1.13,1.06,2023-10-06,0035,T,46,6.1NRT,308.44,11.15,D
-16.78454,136.84882,328.57,1.1,1.05,2023-10-06,0035,T,73,6.1NRT,311.03,13.27,D
-16.73969,136.49516,337.54,1.14,1.07,2023-10-06,0035,T,78,6.1NRT,308.18,30.71,D
-16.75266,136.57918,332.13,1.13,1.06,2023-10-06,0035,T,64,6.1NRT,309.76,17.48,D
-16.75427,136.58961,342.28,1.13,1.06,2023-10-06,0035,T,89,6.1NRT,310.48,37.07,D
-16.74501,136.49854,329.53,1.14,1.07,2023-10-06,0035,T,75,6.1NRT,308.31,18.21,D
-16.75998,136.5928,331.42,1.13,1.06,2023-10-06,0035,T,67,6.1NRT,309.9,16.71,D
-16.75615,136.50751,323.4,1.14,1.06,2023-10-06,0035,T,48,6.1NRT,308.1,9.34,D
-16.78209,136.61046,325.01,1.13,1.06,2023-10-06,0035,T,63,6.1NRT,310.99,8.14,D
-16.79564,136.51176,371.81,1.14,1.06,2023-10-06,0035,T,100,6.1NRT,308.85,130.99,D
-16.79729,136.52234,369.25,1.14,1.06,2023-10-06,0035,T,100,6.1NRT,311.8,119.21,D
-17.35078,138.91393,327.19,1,1,2023-10-06,0035,T,64,6.1NRT,314.58,8.63,D
-17.35212,138.9232,327.87,1,1,2023-10-06,0035,T,68,6.1NRT,312.48,9.91,D
-17.18147,137.64117,351.47,1.03,1.01,2023-10-06,0035,T,95,6.1NRT,312.53,53.73,D
-17.18291,137.65073,345.24,1.03,1.01,2023-10-06,0035,T,91,6.1NRT,311.2,40.86,D
-17.19193,137.64929,330.83,1.03,1.01,2023-10-06,0035,T,77,6.1NRT,311.04,17.69,D
-17.22369,137.677,339.07,1.03,1.01,2023-10-06,0035,T,52,6.1NRT,309.45,27.55,D
-17.23271,137.67557,336.77,1.03,1.01,2023-10-06,0035,T,54,6.1NRT,311.31,22.88,D
-17.2403,137.66472,334.23,1.03,1.01,2023-10-06,0035,T,78,6.1NRT,308.91,20.32,D
-17.28967,137.68608,327.39,1.03,1.01,2023-10-06,0035,T,39,6.1NRT,309.45,11.26,D
-17.29109,137.6956,327.02,1.03,1.01,2023-10-06,0035,T,41,6.1NRT,307.93,11.34,D
-16.26541,130.36235,317.69,3.11,1.67,2023-10-06,0035,T,31,6.1NRT,299.48,29.74,D
-17.71401,139.00458,337.31,1,1,2023-10-06,0035,T,81,6.1NRT,313.01,23.56,D
